L,N,seed,walk,first_passage_time
7,343,64,10,2153
7,343,64,11,8438
7,343,64,12,2831
7,343,64,13,6988
7,343,64,14,9044
7,343,64,15,2926
7,343,64,16,1685
7,343,64,17,16709
7,343,64,18,3259
7,343,64,19,9000
7,343,64,20,1387
7,343,64,21,2700
7,343,64,22,3394
7,343,64,23,1402
7,343,64,24,10307
7,343,64,25,2086
7,343,64,26,977
7,343,64,27,22944
7,343,64,28,1063
7,343,64,29,4313
7,343,64,30,8297
7,343,64,31,703
7,343,64,32,285
7,343,64,33,1495
7,343,64,34,1094
7,343,64,35,457
7,343,64,36,3844
7,343,64,37,703
7,343,64,38,970
7,343,64,39,974
7,343,64,40,7308
7,343,64,41,2086
7,343,64,42,762
7,343,64,43,2183
7,343,64,44,4087
7,343,64,45,1359
7,343,64,46,1834
7,343,64,47,4068
7,343,64,48,2881
7,343,64,49,2552
7,343,65,0,1572
7,343,65,1,4182
7,343,65,2,375
7,343,65,3,2048
7,343,65,4,8288
7,343,65,5,679
7,343,65,6,2112
7,343,65,7,1576
7,343,65,8,603
7,343,65,9,4187
7,343,65,10,1061
7,343,65,11,3605
7,343,65,12,4484
7,343,65,13,6996
7,343,65,14,13868
7,343,65,15,476
7,343,65,16,4324
7,343,65,17,3937
7,343,65,18,1228
7,343,65,19,4889
7,343,65,20,3573
7,343,65,21,839
7,343,65,22,13619
7,343,65,23,8771
7,343,65,24,993
7,343,65,25,3089
7,343,65,26,1187
7,343,65,27,6637
7,343,65,28,4514
7,343,65,29,2299
7,343,65,30,11905
7,343,65,31,1490
7,343,65,32,2050
7,343,65,33,10622
7,343,65,34,165
7,343,65,35,5222
7,343,65,36,607
7,343,65,37,2673
7,343,65,38,11909
7,343,65,39,15188
7,343,65,40,7136
7,343,65,41,1012
7,343,65,42,7040
7,343,65,43,2229
7,343,65,44,2171
7,343,65,45,2962
7,343,65,46,7746
7,343,65,47,700
7,343,65,48,3662
7,343,65,49,11696
8,512,66,0,22324
8,512,66,1,5848
8,512,66,2,2199
8,512,66,3,16113
8,512,66,4,28386
8,512,66,5,7016
8,512,66,6,9102
8,512,66,7,7147
8,512,66,8,2281
8,512,66,9,3696
8,512,66,10,5719
8,512,66,11,7459
8,512,66,12,31284
8,512,66,13,11956
8,512,66,14,6141
8,512,66,15,8040
8,512,66,16,19514
8,512,66,17,14042
8,512,66,18,6385
8,512,66,19,19243
8,512,66,20,5232
8,512,66,21,12452
8,512,66,22,4874
8,512,66,23,607
8,512,66,24,3591
8,512,66,25,405
8,512,66,26,782
8,512,66,27,13202
8,512,66,28,4205
8,512,66,29,10174
8,512,66,30,432
8,512,66,31,7461
8,512,66,32,3723
8,512,66,33,31283
8,512,66,34,6543
8,512,66,35,16522
8,512,66,36,3209
8,512,66,37,7640
8,512,66,38,5195
8,512,66,39,12965
8,512,66,40,6833
8,512,66,41,3127
8,512,66,42,437
8,512,66,43,7215
8,512,66,44,6498
8,512,66,45,249
8,512,66,46,13004
8,512,66,47,4625
8,512,66,48,7734
8,512,66,49,2991
8,512,67,0,30749
8,512,67,1,571
8,512,67,2,5940
8,512,67,3,14345
8,512,67,4,9121
8,512,67,5,7562
8,512,67,6,2216
8,512,67,7,9436
8,512,67,8,6524
8,512,67,9,4728
8,512,67,10,3280
8,512,67,11,1170
8,512,67,12,35918
8,512,67,13,6931
8,512,67,14,2678
8,512,67,15,6123
8,512,67,16,16553
8,512,67,17,10655
8,512,67,18,3441
8,512,67,19,1466
8,512,67,20,25099
8,512,67,21,9142
8,512,67,22,2413
8,512,67,23,2396
8,512,67,24,12204
8,512,67,25,7090
8,512,67,26,6479
8,512,67,27,6596
8,512,67,28,8780
8,512,67,29,286
8,512,67,30,2327
8,512,67,31,20069
8,512,67,32,8629
8,512,67,33,3179
8,512,67,34,2611
8,512,67,35,7098
8,512,67,36,3665
8,512,67,37,13911
8,512,67,38,8890
8,512,67,39,3109
8,512,67,40,13050
8,512,67,41,2986
8,512,67,42,8920
8,512,67,43,26513
8,512,67,44,6701
8,512,67,45,3957
8,512,67,46,1069
8,512,67,47,7827
8,512,67,48,8314
8,512,67,49,16101
